ParentItemCode,ParentGroupCode,ParentItemName,BOM_PatternNo,ParentUnitCode,ChildItemCode,ChildItemGroupCode,ChildItemName,ParentRequireQty,ChildRequireQty,ChildUnitCode
2100021101,RA,RA RG1720R 7PK 1750,901,KG,MWCASA0034,MAT,872(1751)560,20,0.4325,PC
2100031456,RA,RA SG1110C 7PK 1240,902,KG,MWRSCL0051,MAT,TE20(0.4x1120),42,1.3083,PC
MWRSCL0143,MAT,TR90(2.3X400),901,KG,MWFCBB0046,MAT,TR90-1,75.59,75.59,KG
MWFCBB0027,MAT,TM829-B,901,KG,MWMBKN0020,MAT,FIBER,51.02,12.12,KG
2100031456,RA,RA SG1110C 7PK 1240,902,KG,MWCDGD0005,MAT,T273D,42,1.0008,PC
2100009565,WP,V-BELT RED PITCH FM39.5 KUBOTA,901,KG,MWCASL0030,MAT,CC15/TM813(34),60,1.505,PC
2100013178,RA,RA RS1780R 6PK 1640,901,KG,MWCASA0029,MAT,872(1640)560,24,0.4052,PC
2100031456,RA,RA SG1110C 7PK 1240,902,KG,MWRSBA0068,MAT,TE314(1.03X1115),42,5.0738,PC
2100009565,WP,V-BELT RED PITCH FM39.5 KUBOTA,901,KG,MWRSCL0066,MAT,TM868(0.6X560),60,0.9439,PC
2100003573,WP,V-BELT RED S-II SA44.5,905,KG,MWCASL0005,MAT,617(37),100,2.4867,PC
2100003567,WP,V-BELT RED S-II SA40.5,905,KG,MWRSCL0112,MAT,TM831(0.8x1040),100,6.2479,PC
MWFCKN0036,MAT,TM835,901,KG,MWMBKN0020,MAT,FIBER,53.83,14.4,KG
2100031347,WP,V-BELT C-W800 SC127,903,KG,MWCASL0043,MAT,800T(66),60,7.9355,PC
2100021137,RA,RA  RG1720R 6PK 1890,901,KG,MWCASA0028,MAT,872(1890)560,24,0.4666,PC
2100031992,WP,V-BELT W800 SB92-2340(92.1in)Ld,906,KG,MWCASL0042,MAT,800T(52),20,1.4956,PC
MWCABA0071,MAT,CC10F/TM820(1060),901,KG,MWCACL0221,MAT,CC10F/TM820,200,200,KG
MWFCCL0033,BR,TM54-3(3.45x310),901,KG,MWFCKN0041,BR,TM54-3,50.54,50.54,KG
MWMBKN0011,BR,TRM401-2,901,KG,M5114PS-02,RM,DIANA FRESIA P-22,54.38,2.63,KG
2100031456,RA,RA SG1110C 7PK 1240,902,KG,MWCASA0052,MAT,CC10/TE151(1140),42,0.7301,PC
2100031993,WP,V-BELT W800 SB123-3124.2(123in)Ld,904,KG,MWRSCL0065,MAT,TM868(0.6X400),27,2.0995,PC
MWFCKN0041,BR,TM54-3,901,KG,MWMBKN0010,BR,TRM411-1,50.54,2.02,KG
MWFCKN0041,BR,TM54-3,901,KG,MWMBKN0011,BR,TRM401-2,50.54,2.56,KG
MWFCKN0041,BR,TM54-3,901,KG,MWMBKN0012,BR,TMH54-3,50.54,45.96,KG
MWFCKN0042,BR,TWR42B,901,KG,MWMBKN0016,BR,TWR71,51.19,46.8,KG
MWFCKN0042,BR,TWR42B,901,KG,MWMBKN0017,BR,TRM305,51.19,2.27,KG
MWFCKN0042,BR,TWR42B,901,KG,MWMBKN0018,BR,TRM304,51.19,1.5,KG
MWMBKN0009,BR,TR426-1,901,KG,M31000020X,RM,NR STR - CV60,45.896,45.85,KG
MWMBKN0009,BR,TR426-1,901,KG,M5112SD-00,RM,NOCTIZER SD,45.896,0.046,KG
MWMBKN0010,BR,TRM411-1,901,KG,M5103NDT00,RM,NOCMASTER DT-75E,50.166,6.92,KG
MWMBKN0010,BR,TRM411-1,901,KG,M5103TS-01,RM,SANCELER TS,50.166,5.19,KG
MWMBKN0010,BR,TRM411-1,901,KG,M51110010X,RM,CYANINE BLUE FBK#2,50.166,0.026,KG
MWMBKN0010,BR,TRM411-1,901,KG,MWMBKN0009,BR,TR426-1,50.166,36.3,KG
MWMBKN0011,BR,TRM401-2,901,KG,M5101OT-00,RM,Vulcanizing Agents Seimi OT,54.38,14.1,KG
MWMBKN0012,BR,TMH54-3,901,KG,M5114PS-02,RM,DIANA FRESIA P-22,61.06,1.01,KG
MWMBKN0016,BR,TWR71,901,KG,M5114PS-02,RM,DIANA FRESIA P-22,60.2,1.2,KG
MWMBKN0017,BR,TRM305,901,KG,M5114PS-02,RM,DIANA FRESIA P-22,52.008,4,KG
MWMBKN0018,BR,TRM304,901,KG,M5114PS-02,RM,DIANA FRESIA P-22,52,4,KG
MWMBKN0019,BR,TRM301,901,KG,M5114PS-02,RM,DIANA FRESIA P-22,54.38,2.63,KG
MWMBKN0045,BR,TRM455-B,901,KG,M5114PS-02,RM,DIANA FRESIA P-22,50.854,2.4795,KG
MWMBKN0011,BR,TRM401-2,901,KG,MWMBKN0009,BR,TR426-1,54.38,37.65,KG
MWMBKN0012,BR,TMH54-3,901,KG,M32020010X,RM,SKYPRENE B-5A,61.06,25.27,KG
MWMBKN0012,BR,TMH54-3,901,KG,M5102SAN00,RM,MAGNESIUM OXIDE KYOWAMAG 150,61.06,0.46,KG
MWMBKN0012,BR,TMH54-3,901,KG,M5102STO01,RM,STEARIC ACID CAMELLA (BEADS),61.06,0.68,KG
MWMBKN0012,BR,TMH54-3,901,KG,M5102Z3P01,RM,ZINC OXIDE (Grade 3),61.06,2.29,KG
MWMBKN0012,BR,TMH54-3,901,KG,MWMBKN0009,BR,TR426-1,61.06,16.37,KG
MWMBKN0014,BR,TR446,901,KG,M31000020X,RM,NR STR - CV60,44.84,44.4,KG
MWMBKN0014,BR,TR446,901,KG,M51090040X,RM,AKTIPLAST T,44.84,0.44,KG
MWMBKN0015,BR,TR436,901,KG,M31000020X,RM,NR STR - CV60,44.4,44.4,KG
MWCACL0221,MAT,CC10F/TM820,901,KG,MWCDDY0009,MAT,CC10F,200,101.68,KG
MWMBKN0016,BR,TWR71,901,KG,M5102Z3P01,RM,ZINC OXIDE (Grade 3),60.2,2,KG
MWMBKN0016,BR,TWR71,901,KG,M510533-00,RM,OZONOC33,60.2,0.8,KG
MWMBKN0016,BR,TWR71,901,KG,M51058C-00,RM,ANTIDEGRADANTS 8C NOCRAC 8C-N,60.2,1.2,KG
MWMBKN0016,BR,TWR71,901,KG,M5105ODA00,RM,NOCRAC ODA-N,60.2,1,KG
MWMBKN0016,BR,TWR71,901,KG,M51060080X,RM,N330-L,60.2,12,KG
MWMBKN0017,BR,TRM305,901,KG,M5103TTG00,RM,NOCCELER TT-P,52.008,12,KG
MWMBKN0017,BR,TRM305,901,KG,M51110010X,RM,CYANINE BLUE FBK#2,52.008,0.008,KG
MWMBKN0018,BR,TRM304,901,KG,M5103CZ-01,RM,SANCELER CM-G,52,12,KG
MWMBKN0019,BR,TRM301,901,KG,M5101OT-00,RM,Vulcanizing Agents Seimi OT,54.38,14.1,KG
MWMBKN0019,BR,TRM301,901,KG,MWMBKN0015,BR,TR436,54.38,37.65,KG
2100031995,WP,V-BELT W800 SC48.5-1232(48.5in)Ld,905,KG,MWRSCL0133,MAT,TM862(0.8x1040),56,2.8083,PC
2100001289,WP,V-BELT W1000 SC83,906,KG,MWCASL0049,MAT,824(66),15,1.1701,PC
MWCACL0221,MAT,CC10F/TM820,901,KG,MWFCBB0026,MAT,TM820-1,200,98.32,KG
MWWBIN0062,BR,"589-2588-100,589-2649-100",903,PC,MWWBCR0062,BR,2325CR,24,24,PC
MWRSCL0043,MAT,TM835(0.7x1150),901,KG,MWFCBB0063,MAT,TM835,53.58,53.83,KG
2100031905,RA,RA SG1110C 5PK 1515,902,KG,MWRSCL0051,MAT,TE20(0.4x1120),59,1.6018,PC
2100001289,WP,V-BELT W1000 SC83,906,KG,MWCASL0042,MAT,800T(52),15,1.0119,PC
MWCDGD0010,MAT,T727,901,KG,M22040060X,RM,RAW CORD 6A-1670G,1728,1600,KG
2100030699,WP,V-BELT BANDO ULTRAPOWER LG A46 KC MIT,905,KG,MWRSCL0224,MAT,TR41(0.4x1040),100,1.321,PC
2100031457,WP,V-BELT GREEN (RMA) D275 32X6900 Li,902,KG,MWDCCD0003,MAT,3x5TR,10,2.2916,PC
2100032311,WP,V-BELT RED S-II SC86,901,KG,MWCASL0004,MAT,616(55),30,1.8349,PC
MWMBKN0057,MAT,FIBER TM829,901,KG,M19020020X,RM,YARN 20/1,22,10,KG
2100030699,WP,V-BELT BANDO ULTRAPOWER LG A46 KC MIT,905,KG,M22040080X,RM,Dipped Cord 6N-1000(2x3),100,0.9,PC
