Allocation rate,Alloc. dest. dept. CD,Alloc. dest. dept. name,Rate
FC001,CPAT01,AT-1,2.22
FC001,CPAT02,AT-2,2.63
FC001,CPAT03,AT-3,1.41
FC001,CPATIJ,AT Injection,0.81
FC001,CPBB01,BANBURY1,1.815
FC001,CPBB02,BANBURY2,1.815
FC001,CPBI01,Wiper Inspection,4.65
FC001,CPBI02,Wiper Side Cut,2.63
FC001,CPBI03,Wiper Center Cut,3.64
FC001,CPBR01,Wiper Press,1.62
FC001,CPBR02,Wiper Chlorine,2.02
FC001,CPBRC1,Wiper CL1,0.81
FC001,CPBRCR,Wiper ChlorineMixing,0.2
FC001,CPBRCT,Wiper Rubber Cutting,0.4
FC001,CPBRK1,Wiper KN1,2.02
FC001,CPCL01,CALENDER1,0.81
FC001,CPCL02,CALENDER2,2.02
FC001,CPCL03,CALENDER3,1.62
FC001,CPGD01,GD1,2.22
FC001,CPKN01,KNEADER1,0.81
FC001,CPKN03,KNEADER3,1.21
FC001,CPKN04,KNEADER4,1.01
FC001,CPMT45,45 degrees,0.4
FC001,CPMT70,45 and 70 degrees,0.2
FC001,CPMTBJ,BUTT JOINT,0.81
FC001,CPMTBS,BIAS,0.81
FC001,CPMTDY,DYEING,0.4
FC001,CPMTLR,Liner rewinding,0.41
FC001,CPMTST,Slitter,0.4
FC001,CPMTSW,SEWING,0.4
FC001,CPRA01,RA1,0.4
FC001,CPRA02,RA2,1.62
FC001,CPRA03,RA3,2.63
FC001,CPRA04,RA4,1.82
FC001,CPRE01,RE1,1.21
FC001,CPRE02,RE2,3.64
FC001,CPRE03,RE3,3.23
FC001,CPRE04,RE4,3.23
FC001,CPRE05,RE5,3.23
FC001,CPSL01,Sunline1,0.81
FC001,CPSY01,Synchro 1,2.22
FC001,CPSY02,Synchro 2,2.42
FC001,CPSY03,Synchro 3,0.61
FC001,CPWP01,WP1,2.83
FC001,CPWP02,WP2,2.22
FC001,CPWP03,WP3,3.03
FC001,CPWP04,WP4,4.04
FC001,CPWP06,WP6,2.63
FC001,CPWP07,WP7,3.84
FC001,CPWP08,WP8,4.44
FC001,CPWP09,WP9,1.01
FC001,CPWP10,WP10,0.61
FC001,CPWPAB,AIR BAG,0.81
FC001,CPWPDL,D LINE,1.82
FC001,CPWPLL,LONG LINE,3.43
FC002,CPBB01,BANBURY1,2.54
FC002,CPBB02,BANBURY2,2.54
FC002,CPCL01,CALENDER1,1.12
FC002,CPCL02,CALENDER2,2.81
FC002,CPCL03,CALENDER3,2.25
FC002,CPKN01,KNEADER1,1.12
FC002,CPKN03,KNEADER3,1.69
FC002,CPKN04,KNEADER4,1.4
FC002,CPMT45,45 degrees,0.56
FC002,CPMT70,45 and 70 degrees,0.28
FC002,CPMTBJ,BUTT JOINT,1.12
FC002,CPMTBS,BIAS,1.12
FC002,CPMTDY,DYEING,0.56
FC002,CPMTLR,Liner rewinding,0.57
FC002,CPMTST,Slitter,0.56
FC002,CPMTSW,SEWING,0.56
FC002,CPRA01,RA1,0.56
FC002,CPRA02,RA2,2.25
FC002,CPRA03,RA3,3.65
FC002,CPRA04,RA4,2.53
FC002,CPRE01,RE1,1.69
FC002,CPRE02,RE2,5.06
FC002,CPRE03,RE3,4.49
FC002,CPRE04,RE4,4.49
FC002,CPRE05,RE5,4.49
FC002,CPSY01,Synchro 1,3.09
FC002,CPSY02,Synchro 2,3.37
FC002,CPSY03,Synchro 3,0.84
FC002,CPWP01,WP1,3.93
FC002,CPWP02,WP2,3.09
FC002,CPWP03,WP3,4.21
FC002,CPWP04,WP4,5.62
FC002,CPWP06,WP6,3.65
FC002,CPWP07,WP7,5.34
FC002,CPWP08,WP8,6.18
FC002,CPWP09,WP9,1.4
FC002,CPWP10,WP10,0.84
FC002,CPWPAB,AIR BAG,1.12
FC002,CPWPDL,D LINE,2.53
FC002,CPWPLL,LONG LINE,4.78
FC003,CPRA01,RA1,0.5
FC003,CPRA02,RA2,2.69
FC003,CPRA03,RA3,3.97
FC003,CPRA04,RA4,5.78
FC003,CPRE01,RE1,1.07
FC003,CPRE02,RE2,4.46
FC003,CPRE03,RE3,6.41
FC003,CPRE04,RE4,12.73
FC003,CPRE05,RE5,7.93
FC003,CPWP01,WP1,5.39
FC003,CPWP02,WP2,2.27
FC003,CPWP03,WP3,3.92
FC003,CPWP04,WP4,7.11
FC003,CPWP06,WP6,4.74
FC003,CPWP07,WP7,9.35
FC003,CPWP08,WP8,8.78
FC003,CPWP09,WP9,1.92
FC003,CPWP10,WP10,2.37
FC003,CPWPAB,AIR BAG,0.67
FC003,CPWPDL,D LINE,2.7
FC003,CPWPLL,LONG LINE,5.24
FC004,CPBB01,BANBURY1,12.165
FC004,CPBB02,BANBURY2,12.165
FC004,CPCL01,CALENDER1,5.41
FC004,CPCL02,CALENDER2,13.51
