Item CD,Item name,Cost item type, Std. cost per unit ,Base qty.,Unit
M11010010X,CANVAS CC-10,Raw Material,200.22,1,Kilogram
M11010020X,CANVAS CC-15,Raw Material,215.34,1,Kilogram
M11010030X,CANVAS CC-8,Raw Material,254.14,1,Kilogram
M11010040X,CANVAS CC-11,Raw Material,184.95,1,Kilogram
M11010050X,CANVAS CC-10A,Raw Material,199.18,1,Kilogram
M11010070X,CANVAS CC-10F,Raw Material,326.65,1,Kilogram
M11010080X,CANVAS 41-0003T,Raw Material,547.05,1,Kilogram
M11010350X,CANVAS 41-0005T,Raw Material,502.11,1,Kilogram
M11120010X,CANVAS CN-20T,Raw Material,500.49,1,Kilogram
M11410010X,CANVAS TC-10,Raw Material,45,1,Yards
M11410020X,CANVAS 40-1010T,Raw Material,145.9,1,Square meter
M11410030X,CANVAS 40-0080T,Raw Material,286.08,1,Kilogram
M11410040X,CANVAS 41-0004T,Raw Material,481.01,1,Kilogram
M11990010X,UNWOVENCLOTH L140 (W:1025MM),Raw Material,"3,836.16",1,Pieces
M11990030X,NON WOVEN PAPER L140 1025X500,Raw Material,285.71,1,Kilogram
M12010020X,CANVAS 681 (W:49 MM),Raw Material,9.78,1,Meter
M12010030X,CANVAS 681 (W:38 MM),Raw Material,7.18,1,Meter
M12040020X,CANVAS 810T,Raw Material,"2,897.43",1,Kilogram
M12040030X,CANVAS 53-0019DT,Raw Material,"1,605.26",1,Kilogram
M12040040X,N66 WHITE RUBBER COATED FABRIC (811T),Raw Material,"3,375.03",1,Kilogram
M12120010X,CANVAS 617 (W:63 MM),Raw Material,12.39,1,Meter
M12120020X,CANVAS 617 (W:50 MM),Raw Material,10.44,1,Meter
M12120030X,CANVAS 617 (W:37 MM),Raw Material,7.18,1,Meter
M12130010X,CANVAS 824 (W:66 MM),Raw Material,64.25,1,Meter
M12130020X,CANVAS 824 (W:52 MM),Raw Material,50.55,1,Meter
M12130030X,CANVAS 824 (W:40 MM),Raw Material,38.81,1,Meter
M12130040X,CANVAS 824 (W:1040 MM),Raw Material,"1,600.03",1,Kilogram
M123703A-2,CANVAS NNW - 2 (W:1350MM),Raw Material,966.53,1,Kilogram
M12410010X,CANVAS #1489616 (W:1120MM),Raw Material,439.44,1,Yards
M12410020X,CANVAS #14920,Raw Material,350.29,1,Yards
M12410030X,CANVAS 826 (W:66 MM),Raw Material,24.79,1,Meter
M12410040X,CANVAS 826 (W:52 MM),Raw Material,19.57,1,Meter
